 Substance:BZO200d       2023/12/04 18:04:07                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   3.143   -0.015    -0.119   0.092  -0.239   0.079   0.101    -0.146   0.062   0.089   0.063  -0.146     0.065   0.095   0.074   0.064  -0.149
   3.167   -0.111    -0.130   0.121  -0.264   0.081   0.084    -0.161   0.064   0.071   0.065  -0.162     0.064   0.080   0.074   0.066  -0.165
   3.190   -0.031    -0.129   0.139  -0.265   0.086   0.088    -0.160   0.070   0.077   0.075  -0.162     0.068   0.087   0.082   0.077  -0.164
   3.214    0.117    -0.102   0.083  -0.215   0.070   0.119    -0.126   0.058   0.111   0.064  -0.128     0.054   0.121   0.069   0.069  -0.131
   3.237    0.305    -0.035  -0.098  -0.084   0.017   0.188    -0.041   0.012   0.184   0.013  -0.042     0.006   0.192   0.017   0.022  -0.045
   3.261    0.548     0.074  -0.410   0.136  -0.074   0.301     0.100  -0.070   0.299  -0.083   0.100    -0.080   0.305  -0.078  -0.069   0.096
   3.284    0.848     0.211  -0.808   0.416  -0.187   0.446     0.277  -0.174   0.443  -0.205   0.277    -0.187   0.450  -0.198  -0.188   0.275
   3.308    1.152     0.342  -1.196   0.689  -0.293   0.590     0.448  -0.273   0.585  -0.323   0.448    -0.290   0.594  -0.313  -0.304   0.448
   3.331    1.372     0.431  -1.461   0.878  -0.361   0.691     0.563  -0.338   0.682  -0.403   0.562    -0.358   0.695  -0.390  -0.384   0.566
   3.355    1.424     0.449  -1.521   0.923  -0.373   0.713     0.586  -0.350   0.703  -0.420   0.584    -0.371   0.717  -0.405  -0.403   0.593
   3.378    1.284     0.392  -1.353   0.814  -0.326   0.648     0.510  -0.307   0.638  -0.372   0.508    -0.328   0.651  -0.356  -0.355   0.521
