 Substance:BZO200d       2023/12/04 18:04:51                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: I(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   2.064    0.767     0.499   1.378   1.005  -0.385  -0.555     0.642  -0.386  -0.534  -0.435   0.653    -0.382  -0.545  -0.432  -0.403   0.648
   2.088    1.004     0.646   1.807   1.304  -0.501  -0.714     0.832  -0.500  -0.690  -0.566   0.847    -0.500  -0.717  -0.559  -0.526   0.839
   2.111    1.121     0.719   2.021   1.450  -0.558  -0.785     0.927  -0.554  -0.764  -0.631   0.940    -0.559  -0.804  -0.623  -0.587   0.932
   2.135    1.084     0.692   1.951   1.395  -0.540  -0.745     0.895  -0.530  -0.731  -0.609   0.903    -0.542  -0.780  -0.603  -0.567   0.896
   2.158    0.908     0.576   1.624   1.159  -0.451  -0.609     0.748  -0.436  -0.604  -0.505   0.749    -0.454  -0.655  -0.504  -0.473   0.743
   2.182    0.646     0.407   1.145   0.816  -0.321  -0.419     0.532  -0.301  -0.426  -0.352   0.527    -0.323  -0.473  -0.357  -0.333   0.524
   2.205    0.371     0.234   0.654   0.464  -0.185  -0.231     0.311  -0.166  -0.245  -0.197   0.300    -0.188  -0.284  -0.205  -0.191   0.301
   2.229    0.143     0.095   0.267   0.186  -0.078  -0.086     0.134  -0.063  -0.104  -0.076   0.122    -0.081  -0.133  -0.084  -0.081   0.126
   2.252   -0.005     0.011   0.040   0.018  -0.013  -0.002     0.027  -0.006  -0.021  -0.006   0.016    -0.017  -0.041  -0.013  -0.020   0.023
   2.275   -0.065    -0.022  -0.043  -0.045   0.013   0.026    -0.014   0.010   0.010   0.018  -0.023     0.010  -0.007   0.014   0.001  -0.014
   2.299   -0.057    -0.021  -0.040  -0.040   0.018   0.018    -0.012   0.005   0.005   0.015  -0.019     0.016  -0.012   0.016   0.001  -0.009
   2.322   -0.013    -0.007  -0.011  -0.009   0.017  -0.003     0.006  -0.003  -0.013   0.007   0.001     0.017  -0.033   0.011  -0.002   0.010
   2.346    0.029     0.006   0.007   0.015   0.017  -0.017     0.019  -0.006  -0.026   0.001   0.017     0.018  -0.050   0.007  -0.000   0.022
   2.369    0.037     0.010   0.011   0.020   0.014  -0.014     0.019  -0.009  -0.024  -0.004   0.021     0.018  -0.050   0.001   0.002   0.022
   2.393    0.002     0.006   0.014   0.009   0.004   0.007     0.008  -0.016  -0.007  -0.013   0.014     0.010  -0.032  -0.012  -0.003   0.012
   2.416   -0.045    -0.000   0.023  -0.005  -0.011   0.031    -0.005  -0.025   0.013  -0.023   0.007    -0.002  -0.008  -0.027  -0.014   0.002
   2.440   -0.035     0.000   0.024  -0.003  -0.014   0.030    -0.006  -0.023   0.011  -0.017   0.008    -0.002  -0.006  -0.026  -0.015   0.004
   2.463    0.120     0.016  -0.017   0.035   0.018  -0.028     0.016   0.016  -0.046   0.031   0.031     0.034  -0.057   0.019   0.024   0.029
   2.487    0.489     0.056  -0.127   0.120   0.106  -0.166     0.070   0.110  -0.181   0.141   0.083     0.125  -0.187   0.129   0.125   0.084
   2.510    1.067     0.119  -0.311   0.252   0.251  -0.382     0.156   0.261  -0.392   0.312   0.164     0.270  -0.393   0.305   0.291   0.166
   2.534    1.763     0.196  -0.535   0.407   0.427  -0.640     0.259   0.441  -0.645   0.516   0.260     0.445  -0.640   0.515   0.495   0.262
   2.557    2.403     0.268  -0.741   0.547   0.590  -0.876     0.355   0.606  -0.876   0.702   0.349     0.605  -0.865   0.706   0.684   0.349
