 Substance:   Al_U       MP_SQL 1.56 2023/12/12 10:44:39
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms       :    Al      U   
 Atom no.    :       1       2
 Occupancies:   0.9200  0.0800
 Amplitudes  :  19.3117 25.1244
 Scale factors:   1.0000   1.0000
 Masks	      :        1       1
 Smoothing FWHM [Å]   4.99999970E-02

 Output: I(Q)
    Q [A-1]          total            1  1             2  1             2  2
   3.54999995      0.733066559      0.102909051     -0.200664446      0.830821931    
   3.55999994      0.738037050      0.102291487     -0.198993370      0.834738910    
   3.56999993      0.739940882      0.101160437     -0.195409864      0.834190309    
   3.57999992      0.735528350       9.93020386E-02 -0.189462259      0.825688601    
   3.58999991      0.726650476       9.70575586E-02 -0.182135344      0.811728239    
   3.59999990      0.719051838       9.51390192E-02 -0.175166190      0.799079001    
   3.60999990      0.717052102       9.40777510E-02 -0.169856042      0.792830408    
   3.61999989      0.721936464       9.39463004E-02 -0.166321814      0.794312000    
   3.62999988      0.729841650       9.41530466E-02 -0.163460970      0.799149573    
   3.63999987      0.737008691       9.40727293E-02 -0.160061970      0.802997947    
   3.64999986      0.742642879       9.35386196E-02 -0.155412748      0.804517031    
   3.65999985      0.746968269       9.27156433E-02 -0.149588645      0.803841293    
   3.66999984      0.751680434       9.20463651E-02 -0.143433720      0.803067803    
   3.67999983      0.755313277       9.15563926E-02 -0.137667581      0.801424444    
   3.68999982      0.756594479       9.11551341E-02 -0.132883802      0.798323154    
   3.69999981      0.756319702       9.08235237E-02 -0.129431129      0.794927299    
   3.70999980      0.757598877       9.07300115E-02 -0.127180606      0.794049442    
   3.72000003      0.762049079       9.07761455E-02 -0.125379488      0.796652436    
   3.73000002      0.769181371       9.07224417E-02 -0.123190366      0.801649272    
   3.74000001      0.774966061       9.01257247E-02 -0.119797759      0.804638088    
   3.75000000      0.777461112       8.90426859E-02 -0.115347132      0.803765535    
   3.75999999      0.777734578       8.78705308E-02 -0.110217683      0.800081730    
   3.76999998      0.779017210       8.70475248E-02 -0.104945987      0.796915650    
   3.77999997      0.782870650       8.66052285E-02  -9.97242257E-02  0.795989633    
   3.78999996      0.789835930       8.63418207E-02  -9.45583880E-02  0.798052490    
   3.79999995      0.798228085       8.59334543E-02  -8.92313421E-02  0.801525950    
   3.80999994      0.808745801       8.55684504E-02  -8.39244202E-02  0.807101786    
   3.81999993      0.820423186       8.53863880E-02  -7.87350088E-02  0.813771784    
   3.82999992      0.831504822       8.53668749E-02  -7.38199279E-02  0.819957852    
   3.83999991      0.840620756       8.53020698E-02  -6.92300275E-02  0.824548721    
   3.84999990      0.847106397       8.50040093E-02  -6.48572743E-02  0.826959670    
   3.85999990      0.851179302       8.45046863E-02  -6.05364516E-02  0.827211082    
   3.86999989      0.853054106       8.39637667E-02  -5.61203137E-02  0.825210631    
   3.87999988      0.853803456       8.35597366E-02  -5.15024588E-02  0.821746171    
   3.88999987      0.855297029       8.33700448E-02  -4.68127690E-02  0.818739772    
   3.89999986      0.860037684       8.34726170E-02  -4.22208793E-02  0.818785965    
   3.90999985      0.868439555       8.38512033E-02  -3.78865823E-02  0.822474957    
   3.91999984      0.878492773       8.43529329E-02  -3.35685015E-02  0.827708364    
   3.92999983      0.891024411       8.50818157E-02  -2.90387087E-02  0.834981322    
   3.93999982      0.906476855       8.60120356E-02  -2.41980404E-02  0.844662845    
   3.94999981      0.924080253       8.70609283E-02  -1.92339662E-02  0.856253326    
   3.95999980      0.939545631       8.79298896E-02  -1.43465418E-02  0.865962267    
   3.97000003      0.947338045       8.82148296E-02  -9.67878383E-03  0.868802011    
   3.98000002      0.948037148       8.79705325E-02  -5.30006411E-03  0.865366697    
