 Substance:Al_U       2023/12/12 09:50:39                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Unit             1.0000  1.0000
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   5.300    1.203     0.978   0.211   0.014
   5.320    1.189     0.969   0.207   0.014
   5.340    1.177     0.961   0.203   0.014
   5.360    1.166     0.953   0.199   0.014
   5.380    1.154     0.946   0.194   0.014
   5.400    1.141     0.937   0.191   0.014
   5.420    1.128     0.927   0.187   0.014
   5.440    1.116     0.918   0.184   0.014
   5.460    1.105     0.910   0.181   0.014
   5.480    1.095     0.902   0.178   0.014
   5.500    1.084     0.895   0.175   0.014
   5.520    1.073     0.888   0.172   0.013
   5.540    1.063     0.880   0.170   0.013
   5.560    1.054     0.872   0.169   0.013
   5.580    1.046     0.866   0.167   0.014
   5.600    1.038     0.861   0.164   0.014
   5.620    1.032     0.857   0.161   0.014
   5.640    1.027     0.855   0.158   0.014
   5.660    1.022     0.854   0.155   0.014
   5.680    1.017     0.851   0.152   0.014
   5.700    1.012     0.848   0.150   0.013
   5.720    1.008     0.845   0.149   0.013
   5.740    1.004     0.842   0.149   0.013
   5.760    1.001     0.840   0.148   0.013
   5.780    0.997     0.838   0.146   0.013
   5.800    0.993     0.836   0.144   0.012
   5.820    0.987     0.833   0.142   0.012
   5.840    0.981     0.829   0.140   0.012
   5.860    0.975     0.825   0.139   0.012
   5.880    0.969     0.819   0.137   0.012
   5.900    0.961     0.813   0.136   0.012
   5.920    0.953     0.807   0.134   0.012
   5.940    0.945     0.800   0.132   0.012
   5.960    0.939     0.795   0.131   0.013
   5.980    0.936     0.792   0.131   0.013
   6.000    0.935     0.791   0.131   0.013
   6.020    0.933     0.790   0.131   0.013
   6.040    0.931     0.788   0.130   0.014
   6.060    0.927     0.785   0.128   0.014
   6.080    0.922     0.781   0.125   0.015
   6.100    0.914     0.775   0.123   0.016
   6.120    0.907     0.769   0.121   0.017
   6.140    0.900     0.762   0.120   0.018
   6.160    0.893     0.755   0.118   0.019
   6.180    0.887     0.749   0.117   0.020
   6.200    0.880     0.744   0.115   0.021
   6.220    0.873     0.738   0.114   0.021
   6.240    0.866     0.733   0.112   0.021
   6.260    0.860     0.729   0.111   0.020
   6.280    0.855     0.725   0.109   0.020
   6.300    0.850     0.723   0.107   0.019
   6.320    0.845     0.722   0.105   0.018
   6.340    0.842     0.722   0.103   0.017
   6.360    0.840     0.722   0.102   0.016
   6.380    0.839     0.724   0.101   0.015
   6.400    0.838     0.725   0.099   0.014
   6.420    0.835     0.726   0.097   0.013
   6.440    0.832     0.726   0.094   0.011
   6.460    0.830     0.727   0.092   0.010
   6.480    0.828     0.729   0.091   0.009
   6.500    0.828     0.730   0.089   0.008
   6.520    0.829     0.732   0.089   0.008
   6.540    0.829     0.735   0.088   0.007
   6.560    0.831     0.738   0.087   0.006
   6.580    0.834     0.743   0.086   0.005
   6.600    0.838     0.748   0.086   0.004
