 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
  20.202    0.987     0.174   0.490   0.323
  20.246    0.991     0.174   0.492   0.325
  20.289    0.999     0.173   0.494   0.332
  20.333    0.996     0.173   0.490   0.333
  20.377    1.004     0.173   0.488   0.343
  20.420    1.010     0.174   0.491   0.345
  20.464    1.008     0.176   0.494   0.338
  20.508    1.007     0.175   0.494   0.338
  20.551    0.997     0.174   0.487   0.336
  20.595    1.000     0.175   0.488   0.337
  20.639    1.014     0.176   0.495   0.344
  20.682    1.021     0.175   0.490   0.356
  20.726    1.012     0.176   0.483   0.353
  20.769    0.982     0.176   0.484   0.321
  20.813    0.983     0.175   0.493   0.314
  20.857    1.029     0.176   0.501   0.352
  20.900    1.029     0.177   0.493   0.359
  20.944    0.999     0.177   0.480   0.342
  20.988    0.999     0.177   0.485   0.337
  21.031    1.005     0.177   0.496   0.333
  21.075    0.995     0.178   0.487   0.330
  21.118    0.998     0.179   0.481   0.338
  21.162    1.026     0.178   0.486   0.362
  21.206    1.018     0.178   0.484   0.355
  21.249    0.999     0.178   0.483   0.338
  21.293    1.006     0.178   0.485   0.342
  21.337    1.010     0.179   0.485   0.346
  21.380    1.008     0.179   0.483   0.346
  21.424    1.003     0.180   0.482   0.341
  21.468    0.996     0.180   0.485   0.332
  21.511    0.990     0.180   0.488   0.323
  21.555    0.997     0.181   0.487   0.330
  21.598    1.000     0.181   0.485   0.334
  21.642    0.997     0.180   0.484   0.333
  21.686    1.006     0.181   0.488   0.337
  21.729    1.003     0.182   0.486   0.335
  21.773    0.986     0.181   0.486   0.319
  21.817    0.993     0.182   0.489   0.322
  21.860    1.000     0.183   0.488   0.329
  21.904    0.987     0.183   0.488   0.317
  21.948    0.986     0.182   0.486   0.318
  21.991    0.993     0.183   0.489   0.321
  22.035    1.002     0.183   0.490   0.330
  22.078    0.998     0.182   0.491   0.325
