 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
  82.336    0.998     0.241   0.500   0.257
  82.380    1.001     0.241   0.499   0.260
  82.423    0.999     0.242   0.498   0.260
  82.467    0.999     0.242   0.499   0.258
  82.510    1.002     0.242   0.500   0.261
  82.554    1.005     0.241   0.501   0.262
  82.598    1.000     0.242   0.501   0.258
  82.641    0.995     0.242   0.500   0.254
  82.685    0.995     0.242   0.501   0.253
  82.729    0.998     0.242   0.500   0.257
  82.772    1.002     0.242   0.499   0.261
  82.816    1.002     0.241   0.500   0.260
  82.860    0.999     0.241   0.500   0.258
  82.903    0.998     0.241   0.500   0.257
  82.947    0.997     0.241   0.500   0.256
  82.990    1.000     0.241   0.500   0.259
  83.034    1.006     0.241   0.501   0.264
  83.078    1.003     0.241   0.501   0.261
  83.121    1.000     0.242   0.500   0.259
  83.165    0.998     0.242   0.498   0.258
  83.209    0.993     0.241   0.499   0.253
  83.252    0.998     0.241   0.500   0.257
  83.296    1.002     0.242   0.499   0.261
  83.339    0.998     0.241   0.499   0.257
  83.383    0.995     0.241   0.499   0.255
  83.427    0.998     0.241   0.499   0.258
  83.470    1.001     0.241   0.500   0.260
  83.514    0.999     0.241   0.499   0.259
  83.558    1.001     0.241   0.499   0.261
  83.601    1.000     0.241   0.500   0.259
  83.645    1.001     0.241   0.500   0.260
  83.689    1.005     0.241   0.499   0.265
  83.732    1.001     0.241   0.499   0.260
  83.776    0.996     0.242   0.499   0.255
  83.819    0.999     0.242   0.500   0.257
  83.863    1.000     0.241   0.500   0.259
  83.907    1.001     0.241   0.500   0.259
  83.950    1.002     0.241   0.501   0.259
  83.994    1.000     0.241   0.500   0.259
  84.038    1.003     0.241   0.501   0.261
  84.081    1.003     0.241   0.500   0.262
  84.125    1.001     0.241   0.499   0.261
  84.169    1.001     0.242   0.500   0.259
  84.212    1.000     0.242   0.501   0.258
  84.256    1.002     0.242   0.501   0.260
  84.299    1.001     0.242   0.500   0.259
  84.343    1.000     0.242   0.499   0.259
  84.387    1.000     0.242   0.501   0.258
  84.430    0.999     0.241   0.501   0.256
  84.474    0.997     0.242   0.499   0.256
  84.518    1.000     0.242   0.499   0.259
  84.561    1.000     0.242   0.500   0.258
  84.605    0.999     0.241   0.501   0.256
  84.648    1.005     0.241   0.501   0.262
  84.692    1.004     0.242   0.500   0.262
  84.736    1.002     0.242   0.501   0.259
  84.779    0.999     0.242   0.500   0.257
  84.823    0.995     0.241   0.499   0.255
  84.867    1.000     0.242   0.500   0.258
  84.910    1.001     0.242   0.500   0.260
  84.954    1.001     0.241   0.500   0.259
  84.998    0.999     0.242   0.500   0.258
  85.041    0.996     0.241   0.499   0.256
  85.085    0.996     0.241   0.499   0.256
  85.128    0.997     0.242   0.498   0.257
  85.172    1.001     0.242   0.499   0.260
  85.216    1.001     0.241   0.501   0.259
  85.259    0.997     0.241   0.500   0.255
  85.303    0.998     0.241   0.500   0.256
  85.347    1.003     0.241   0.501   0.260
  85.390    1.001     0.242   0.500   0.260
  85.434    0.999     0.242   0.499   0.258
  85.478    1.002     0.241   0.501   0.260
  85.521    1.003     0.241   0.500   0.262
  85.565    1.001     0.241   0.498   0.262
  85.608    0.999     0.241   0.498   0.259
  85.652    0.998     0.242   0.501   0.256
  85.696    1.000     0.242   0.501   0.257
  85.739    1.000     0.241   0.499   0.260
  85.783    1.002     0.241   0.498   0.263
  85.827    1.002     0.241   0.499   0.261
  85.870    0.999     0.242   0.500   0.257
  85.914    1.001     0.241   0.500   0.260
  85.957    1.000     0.241   0.500   0.259
  86.001    0.997     0.242   0.500   0.255
  86.045    1.002     0.242   0.501   0.260
  86.088    1.004     0.241   0.500   0.263
  86.132    1.000     0.241   0.499   0.260
  86.176    1.000     0.241   0.499   0.259
  86.219    1.000     0.241   0.499   0.259
  86.263    1.000     0.241   0.501   0.259
  86.307    1.001     0.241   0.501   0.259
  86.350    0.998     0.241   0.500   0.257
  86.394    0.995     0.241   0.500   0.254
  86.437    0.998     0.241   0.500   0.257
  86.481    1.002     0.241   0.499   0.262
  86.525    1.004     0.241   0.500   0.262
  86.568    1.002     0.241   0.502   0.259
  86.612    1.000     0.242   0.501   0.258
  86.656    0.999     0.242   0.499   0.258
  86.699    0.999     0.241   0.498   0.259
  86.743    1.001     0.241   0.500   0.260
  86.786    1.000     0.241   0.501   0.258
  86.830    1.002     0.242   0.501   0.260
  86.874    0.999     0.241   0.500   0.258
  86.917    0.998     0.241   0.499   0.258
  86.961    1.001     0.242   0.501   0.258
  87.005    1.000     0.241   0.501   0.258
  87.048    1.000     0.241   0.500   0.259
  87.092    1.000     0.242   0.499   0.259
  87.136    0.999     0.242   0.499   0.259
  87.179    0.998     0.242   0.499   0.257
  87.223    0.999     0.242   0.500   0.258
  87.266    1.002     0.242   0.501   0.260
  87.310    1.000     0.241   0.500   0.259
  87.354    0.998     0.241   0.498   0.259
  87.397    1.000     0.242   0.500   0.258
  87.441    1.000     0.242   0.502   0.257
  87.485    0.996     0.241   0.500   0.255
  87.528    0.995     0.242   0.499   0.254
  87.572    1.001     0.241   0.500   0.260
  87.616    1.003     0.241   0.500   0.262
  87.659    0.999     0.242   0.500   0.258
  87.703    1.001     0.242   0.500   0.259
  87.746    1.003     0.241   0.500   0.261
  87.790    1.002     0.241   0.500   0.261
  87.834    1.002     0.241   0.500   0.261
  87.877    0.999     0.242   0.499   0.259
  87.921    0.998     0.242   0.499   0.258
  87.965    0.997     0.242   0.499   0.257
  88.008    0.999     0.241   0.499   0.259
  88.052    1.005     0.241   0.501   0.263
  88.095    1.004     0.241   0.501   0.262
  88.139    1.000     0.242   0.499   0.260
  88.183    1.000     0.241   0.498   0.260
  88.226    1.000     0.241   0.500   0.259
  88.270    1.000     0.242   0.500   0.258
  88.314    1.000     0.241   0.500   0.258
  88.357    1.002     0.241   0.500   0.261
  88.401    1.000     0.241   0.500   0.258
  88.445    0.994     0.241   0.500   0.253
  88.488    0.998     0.241   0.500   0.257
  88.532    1.002     0.241   0.500   0.260
  88.575    0.998     0.241   0.500   0.257
  88.619    0.998     0.241   0.499   0.258
  88.663    0.998     0.241   0.500   0.256
  88.706    0.997     0.242   0.500   0.255
  88.750    1.001     0.242   0.500   0.259
  88.794    1.005     0.242   0.500   0.263
  88.837    1.002     0.242   0.499   0.262
  88.881    1.000     0.241   0.499   0.259
  88.925    1.003     0.241   0.500   0.262
  88.968    1.003     0.241   0.501   0.261
  89.012    1.000     0.242   0.501   0.258
  89.055    1.000     0.242   0.501   0.258
  89.099    1.001     0.241   0.501   0.259
  89.143    1.001     0.241   0.500   0.260
  89.186    0.998     0.241   0.500   0.257
  89.230    0.997     0.242   0.500   0.255
  89.274    0.997     0.241   0.500   0.256
  89.317    0.999     0.241   0.501   0.256
  89.361    1.001     0.241   0.501   0.259
  89.404    1.002     0.241   0.499   0.262
  89.448    0.997     0.241   0.498   0.258
  89.492    0.995     0.242   0.499   0.254
  89.535    0.998     0.241   0.500   0.257
  89.579    1.003     0.241   0.500   0.261
  89.623    1.004     0.241   0.500   0.263
  89.666    1.000     0.241   0.500   0.258
  89.710    0.995     0.241   0.499   0.254
  89.754    1.001     0.241   0.500   0.260
  89.797    1.004     0.241   0.500   0.263
  89.841    0.999     0.242   0.499   0.259
  89.884    0.999     0.241   0.500   0.257
  89.928    0.999     0.241   0.500   0.258
  89.972    0.999     0.242   0.499   0.259
  90.015    1.000     0.242   0.500   0.259
  90.059    0.998     0.241   0.500   0.257
  90.103    0.999     0.241   0.499   0.259
  90.146    1.003     0.241   0.499   0.263
  90.190    1.005     0.241   0.500   0.264
  90.234    1.003     0.241   0.500   0.261
  90.277    0.999     0.242   0.500   0.257
  90.321    1.000     0.242   0.500   0.258
  90.364    1.003     0.242   0.501   0.261
  90.408    1.001     0.241   0.501   0.259
  90.452    0.999     0.241   0.500   0.257
  90.495    0.999     0.241   0.499   0.259
  90.539    0.997     0.241   0.499   0.256
  90.583    0.996     0.241   0.499   0.255
  90.626    1.002     0.242   0.501   0.260
  90.670    0.999     0.242   0.501   0.257
  90.713    0.995     0.242   0.499   0.254
  90.757    1.001     0.242   0.499   0.260
  90.801    1.002     0.241   0.500   0.261
  90.844    1.003     0.241   0.501   0.261
  90.888    1.004     0.242   0.501   0.262
  90.932    0.999     0.242   0.500   0.258
  90.975    0.999     0.242   0.499   0.258
  91.019    1.002     0.242   0.500   0.261
  91.063    1.001     0.241   0.501   0.259
  91.106    1.001     0.241   0.500   0.260
  91.150    1.001     0.241   0.500   0.260
  91.193    0.999     0.241   0.500   0.257
  91.237    0.998     0.241   0.500   0.257
  91.281    0.999     0.241   0.500   0.258
  91.324    0.999     0.242   0.499   0.258
  91.368    0.999     0.242   0.499   0.258
  91.412    1.002     0.241   0.501   0.260
  91.455    1.000     0.241   0.500   0.259
  91.499    0.998     0.241   0.500   0.257
  91.543    0.999     0.241   0.501   0.258
  91.586    0.998     0.241   0.501   0.256
  91.630    0.996     0.241   0.499   0.256
  91.673    0.998     0.241   0.499   0.257
  91.717    0.999     0.241   0.500   0.258
  91.761    0.999     0.241   0.500   0.258
  91.804    1.001     0.241   0.499   0.260
  91.848    1.002     0.242   0.499   0.261
  91.892    1.000     0.242   0.499   0.259
  91.935    0.999     0.241   0.500   0.257
  91.979    1.001     0.241   0.500   0.260
  92.022    1.002     0.241   0.500   0.261
  92.066    1.001     0.241   0.500   0.260
  92.110    1.002     0.241   0.500   0.261
  92.153    0.998     0.242   0.499   0.257
  92.197    1.002     0.242   0.500   0.260
  92.241    1.006     0.241   0.500   0.264
  92.284    1.000     0.241   0.500   0.258
  92.328    0.998     0.241   0.500   0.257
  92.372    0.999     0.241   0.499   0.259
  92.415    1.000     0.241   0.500   0.259
  92.459    1.000     0.241   0.501   0.258
  92.502    0.997     0.241   0.500   0.256
  92.546    1.001     0.242   0.499   0.260
  92.590    1.004     0.242   0.499   0.263
  92.633    1.002     0.242   0.500   0.260
  92.677    1.001     0.241   0.500   0.260
  92.721    1.000     0.241   0.500   0.258
  92.764    0.999     0.241   0.500   0.258
  92.808    0.998     0.242   0.499   0.258
  92.852    0.996     0.242   0.499   0.256
  92.895    0.999     0.241   0.500   0.257
  92.939    1.003     0.241   0.501   0.261
  92.982    1.003     0.241   0.502   0.260
  93.026    1.001     0.241   0.501   0.259
  93.070    0.999     0.241   0.499   0.259
  93.113    0.997     0.242   0.499   0.256
  93.157    0.999     0.242   0.500   0.258
  93.201    1.001     0.241   0.500   0.260
  93.244    0.999     0.241   0.500   0.258
  93.288    1.001     0.242   0.500   0.259
  93.331    1.000     0.242   0.499   0.259
  93.375    0.996     0.241   0.498   0.256
  93.419    0.999     0.241   0.500   0.258
  93.462    1.002     0.241   0.501   0.260
  93.506    0.999     0.241   0.500   0.258
  93.550    0.999     0.242   0.499   0.258
  93.593    1.002     0.242   0.500   0.260
  93.637    1.004     0.241   0.500   0.263
  93.681    1.001     0.241   0.500   0.259
  93.724    0.998     0.241   0.501   0.256
  93.768    0.998     0.242   0.499   0.257
  93.811    0.997     0.242   0.500   0.256
  93.855    1.001     0.241   0.501   0.259
  93.899    1.000     0.242   0.500   0.259
  93.942    0.997     0.242   0.499   0.256
  93.986    1.000     0.241   0.499   0.260
  94.030    1.001     0.241   0.499   0.261
  94.073    0.999     0.241   0.500   0.258
  94.117    1.000     0.241   0.501   0.258
  94.161    1.000     0.242   0.500   0.258
  94.204    0.999     0.242   0.500   0.257
  94.248    0.999     0.241   0.500   0.259
  94.291    1.000     0.241   0.499   0.260
  94.335    1.002     0.241   0.499   0.262
  94.379    1.004     0.241   0.500   0.262
  94.422    1.002     0.241   0.501   0.260
  94.466    1.000     0.241   0.500   0.259
  94.510    1.003     0.241   0.500   0.262
  94.553    1.003     0.241   0.501   0.261
  94.597    1.001     0.241   0.501   0.258
  94.640    1.001     0.241   0.500   0.259
  94.684    0.998     0.242   0.499   0.257
  94.728    0.998     0.241   0.499   0.258
  94.771    1.001     0.241   0.500   0.260
  94.815    1.000     0.241   0.500   0.258
  94.859    1.000     0.241   0.499   0.259
  94.902    0.998     0.242   0.499   0.257
  94.946    0.997     0.241   0.499   0.256
  94.990    1.001     0.241   0.500   0.260
  95.033    1.001     0.242   0.500   0.260
  95.077    0.997     0.241   0.499   0.257
  95.120    0.997     0.241   0.499   0.257
  95.164    1.001     0.241   0.500   0.259
  95.208    1.002     0.241   0.501   0.260
  95.251    1.000     0.241   0.501   0.258
  95.295    0.998     0.241   0.501   0.256
  95.339    0.999     0.241   0.500   0.257
  95.382    1.003     0.241   0.501   0.261
  95.426    1.001     0.241   0.500   0.260
  95.470    0.996     0.241   0.499   0.256
  95.513    0.999     0.241   0.500   0.258
  95.557    1.003     0.242   0.500   0.262
  95.600    1.001     0.241   0.499   0.261
  95.644    1.000     0.241   0.500   0.259
  95.688    0.999     0.242   0.500   0.257
  95.731    0.996     0.242   0.498   0.256
  95.775    0.999     0.241   0.500   0.257
  95.819    1.000     0.241   0.501   0.258
  95.862    0.997     0.241   0.499   0.257
  95.906    1.001     0.242   0.500   0.260
  95.949    1.004     0.242   0.500   0.262
  95.993    1.000     0.241   0.499   0.260
  96.037    1.000     0.241   0.500   0.259
  96.080    1.000     0.242   0.500   0.258
  96.124    1.002     0.242   0.500   0.261
  96.168    1.003     0.241   0.500   0.261
  96.211    0.997     0.241   0.500   0.256
  96.255    0.998     0.242   0.500   0.256
  96.299    1.003     0.242   0.499   0.262
  96.342    1.004     0.241   0.499   0.263
  96.386    1.001     0.241   0.502   0.258
  96.429    0.998     0.241   0.501   0.255
  96.473    1.000     0.242   0.500   0.259
  96.517    0.999     0.242   0.499   0.258
  96.560    0.998     0.241   0.499   0.258
  96.604    0.998     0.241   0.500   0.257
  96.648    0.998     0.241   0.499   0.257
  96.691    1.003     0.241   0.500   0.262
  96.735    1.004     0.241   0.501   0.262
  96.779    1.000     0.241   0.501   0.258
  96.822    1.001     0.241   0.500   0.259
  96.866    1.000     0.241   0.499   0.260
  96.909    0.997     0.241   0.498   0.257
  96.953    1.002     0.242   0.500   0.261
  96.997    1.003     0.242   0.501   0.260
  97.040    0.999     0.241   0.499   0.258
  97.084    1.000     0.241   0.499   0.259
  97.128    1.000     0.242   0.500   0.258
  97.171    0.998     0.241   0.499   0.258
  97.215    1.000     0.241   0.499   0.259
  97.258    0.996     0.242   0.500   0.255
  97.302    0.997     0.241   0.500   0.255
  97.346    1.000     0.241   0.500   0.259
  97.389    0.998     0.241   0.499   0.257
  97.433    1.000     0.242   0.499   0.259
  97.477    0.999     0.241   0.500   0.258
  97.520    0.999     0.241   0.500   0.257
  97.564    1.000     0.241   0.500   0.259
  97.608    0.998     0.241   0.499   0.258
  97.651    1.002     0.241   0.499   0.261
  97.695    1.003     0.241   0.501   0.261
  97.738    1.002     0.242   0.501   0.259
  97.782    1.001     0.242   0.500   0.260
  97.826    1.001     0.241   0.500   0.260
  97.869    1.000     0.242   0.500   0.259
  97.913    0.999     0.241   0.499   0.258
  97.957    1.001     0.241   0.500   0.259
  98.000    1.001     0.241   0.501   0.259
  98.044    0.999     0.242   0.501   0.257
  98.088    0.998     0.242   0.500   0.256
  98.131    0.997     0.241   0.500   0.256
  98.175    1.000     0.242   0.500   0.258
  98.218    1.002     0.242   0.501   0.260
  98.262    1.002     0.242   0.501   0.260
  98.306    1.002     0.242   0.500   0.261
  98.349    1.000     0.241   0.499   0.260
  98.393    1.003     0.241   0.500   0.262
  98.437    1.002     0.241   0.500   0.260
  98.480    0.997     0.242   0.499   0.256
  98.524    1.000     0.241   0.499   0.259
  98.567    1.001     0.241   0.500   0.260
  98.611    0.998     0.242   0.501   0.256
  98.655    0.998     0.242   0.501   0.256
  98.698    1.002     0.242   0.500   0.261
  98.742    1.004     0.241   0.499   0.263
  98.786    0.998     0.241   0.500   0.256
  98.829    0.996     0.242   0.499   0.255
  98.873    1.002     0.242   0.499   0.261
  98.917    1.004     0.242   0.500   0.263
  98.960    1.001     0.241   0.500   0.260
  99.004    0.997     0.241   0.499   0.257
  99.047    0.995     0.241   0.500   0.254
  99.091    0.997     0.242   0.500   0.255
  99.135    0.999     0.241   0.500   0.258
  99.178    0.998     0.242   0.499   0.258
  99.222    0.998     0.242   0.499   0.258
  99.266    1.001     0.241   0.500   0.260
  99.309    1.003     0.241   0.500   0.262
  99.353    1.001     0.241   0.499   0.261
  99.397    1.000     0.242   0.499   0.260
  99.440    0.999     0.241   0.499   0.258
  99.484    1.000     0.241   0.500   0.258
  99.527    1.004     0.241   0.501   0.262
  99.571    1.003     0.241   0.500   0.261
  99.615    0.999     0.241   0.501   0.257
  99.658    0.999     0.241   0.501   0.257
  99.702    1.000     0.241   0.500   0.259
  99.746    0.998     0.241   0.499   0.257
  99.789    0.997     0.241   0.500   0.255
  99.833    1.000     0.241   0.501   0.258
  99.876    1.001     0.241   0.500   0.260
  99.920    0.999     0.241   0.499   0.259
  99.964    0.999     0.241   0.500   0.258
 100.007    1.001     0.241   0.500   0.260
 100.051    1.004     0.242   0.500   0.262
 100.095    1.002     0.241   0.500   0.260
 100.138    0.998     0.241   0.499   0.257
 100.182    1.000     0.242   0.500   0.258
 100.226    1.001     0.241   0.500   0.259
 100.269    0.996     0.241   0.500   0.255
 100.313    1.000     0.242   0.499   0.259
 100.356    1.003     0.242   0.500   0.262
 100.400    0.999     0.241   0.500   0.257
 100.444    0.999     0.241   0.500   0.257
 100.487    1.000     0.241   0.499   0.259
 100.531    1.001     0.242   0.499   0.260
 100.575    1.003     0.241   0.500   0.262
 100.618    1.000     0.241   0.500   0.259
 100.662    0.996     0.242   0.501   0.253
 100.706    0.997     0.242   0.500   0.256
 100.749    1.002     0.241   0.499   0.261
 100.793    1.001     0.242   0.500   0.259
 100.836    1.000     0.242   0.500   0.258
 100.880    1.000     0.241   0.499   0.259
 100.924    1.000     0.241   0.499   0.260
 100.967    1.001     0.241   0.499   0.260
 101.011    1.002     0.242   0.500   0.260
 101.055    1.002     0.241   0.501   0.260
 101.098    1.001     0.241   0.501   0.259
 101.142    0.998     0.241   0.500   0.257
 101.185    0.996     0.242   0.499   0.256
 101.229    0.995     0.242   0.499   0.255
 101.273    0.996     0.241   0.498   0.257
 101.316    1.000     0.241   0.499   0.260
 101.360    1.002     0.241   0.501   0.260
 101.404    1.000     0.242   0.499   0.259
 101.447    0.998     0.242   0.499   0.258
 101.491    1.001     0.241   0.500   0.260
 101.535    1.004     0.241   0.500   0.262
 101.578    0.999     0.242   0.500   0.258
 101.622    1.001     0.241   0.501   0.259
 101.665    1.005     0.242   0.501   0.262
 101.709    1.003     0.242   0.501   0.260
 101.753    1.001     0.242   0.500   0.259
 101.796    1.000     0.241   0.499   0.260
 101.840    0.998     0.241   0.500   0.257
 101.884    0.999     0.241   0.501   0.256
 101.927    1.003     0.241   0.501   0.260
 101.971    1.004     0.241   0.500   0.262
 102.015    1.002     0.241   0.500   0.261
 102.058    0.998     0.241   0.501   0.255
 102.102    0.995     0.241   0.500   0.254
 102.145    0.999     0.241   0.499   0.259
 102.189    1.001     0.241   0.500   0.260
 102.233    0.997     0.241   0.499   0.256
 102.276    0.998     0.242   0.499   0.257
 102.320    1.003     0.242   0.500   0.261
 102.364    1.000     0.241   0.500   0.259
 102.407    0.998     0.241   0.499   0.258
 102.451    0.999     0.241   0.500   0.258
 102.494    0.999     0.242   0.499   0.258
 102.538    0.999     0.242   0.500   0.258
 102.582    1.001     0.241   0.500   0.259
 102.625    1.002     0.241   0.500   0.260
 102.669    0.999     0.241   0.498   0.260
 102.713    0.999     0.241   0.498   0.259
 102.756    1.001     0.242   0.500   0.259
 102.800    1.002     0.242   0.500   0.260
 102.844    0.999     0.241   0.499   0.258
 102.887    0.998     0.241   0.500   0.257
 102.931    1.000     0.241   0.500   0.259
 102.974    1.001     0.241   0.500   0.260
 103.018    1.001     0.241   0.500   0.259
 103.062    1.000     0.241   0.500   0.259
 103.105    1.000     0.241   0.500   0.258
 103.149    0.999     0.242   0.500   0.257
 103.193    1.000     0.242   0.501   0.258
 103.236    1.000     0.241   0.500   0.259
 103.280    1.001     0.241   0.500   0.260
 103.323    0.999     0.241   0.499   0.259
 103.367    0.998     0.241   0.500   0.257
 103.411    1.002     0.241   0.501   0.260
 103.454    1.001     0.241   0.500   0.259
 103.498    0.998     0.241   0.499   0.258
 103.542    1.003     0.242   0.500   0.262
 103.585    1.003     0.242   0.500   0.261
 103.629    0.998     0.242   0.500   0.257
 103.673    0.998     0.241   0.500   0.257
 103.716    0.999     0.241   0.500   0.258
 103.760    1.000     0.241   0.500   0.258
 103.803    1.001     0.242   0.499   0.260
 103.847    1.001     0.241   0.499   0.260
 103.891    1.000     0.241   0.500   0.258
 103.934    1.000     0.241   0.500   0.258
 103.978    1.002     0.242   0.500   0.260
 104.022    1.002     0.242   0.500   0.260
 104.065    1.001     0.241   0.500   0.260
 104.109    1.001     0.242   0.501   0.259
 104.153    0.999     0.242   0.501   0.257
 104.196    0.998     0.242   0.499   0.257
 104.240    1.000     0.242   0.500   0.259
 104.283    1.002     0.242   0.500   0.260
 104.327    0.999     0.241   0.499   0.259
 104.371    0.996     0.241   0.499   0.256
 104.414    0.997     0.241   0.500   0.255
 104.458    1.000     0.241   0.501   0.258
 104.502    1.000     0.241   0.500   0.258
 104.545    0.999     0.242   0.500   0.258
 104.589    1.000     0.242   0.499   0.259
 104.632    0.998     0.242   0.498   0.258
 104.676    0.997     0.242   0.499   0.256
 104.720    1.001     0.242   0.501   0.259
 104.763    1.003     0.241   0.499   0.262
 104.807    1.001     0.241   0.500   0.260
 104.851    0.999     0.241   0.501   0.257
 104.894    1.000     0.241   0.499   0.259
 104.938    1.000     0.241   0.499   0.260
 104.982    1.000     0.241   0.500   0.259
 105.025    1.000     0.241   0.499   0.259
 105.069    1.002     0.241   0.500   0.260
 105.112    1.000     0.242   0.500   0.257
 105.156    0.997     0.242   0.499   0.257
 105.200    0.998     0.241   0.499   0.258
 105.243    1.002     0.241   0.500   0.261
 105.287    1.006     0.241   0.502   0.263
 105.331    1.001     0.241   0.500   0.260
 105.374    0.998     0.241   0.499   0.258
 105.418    1.002     0.242   0.500   0.260
 105.462    1.002     0.241   0.500   0.260
 105.505    1.000     0.241   0.500   0.258
 105.549    1.000     0.241   0.499   0.260
 105.592    1.000     0.242   0.499   0.259
 105.636    1.003     0.241   0.501   0.260
 105.680    1.001     0.241   0.501   0.259
 105.723    0.997     0.241   0.500   0.256
 105.767    0.999     0.242   0.500   0.258
 105.811    1.001     0.241   0.500   0.259
 105.854    1.000     0.241   0.500   0.258
 105.898    0.998     0.241   0.500   0.257
 105.941    1.002     0.242   0.501   0.259
 105.985    1.002     0.242   0.501   0.260
 106.029    0.998     0.241   0.500   0.257
 106.072    0.998     0.241   0.500   0.256
 106.116    1.000     0.241   0.500   0.259
 106.160    1.001     0.242   0.500   0.259
 106.203    0.998     0.242   0.499   0.257
 106.247    0.996     0.241   0.499   0.256
 106.291    0.999     0.241   0.499   0.259
 106.334    1.002     0.241   0.500   0.261
 106.378    1.001     0.242   0.499   0.260
 106.421    1.001     0.241   0.499   0.261
 106.465    1.001     0.241   0.499   0.260
 106.509    1.000     0.241   0.500   0.258
 106.552    0.999     0.241   0.500   0.257
 106.596    0.997     0.241   0.500   0.256
 106.640    0.998     0.241   0.499   0.257
 106.683    1.001     0.242   0.499   0.261
 106.727    1.002     0.242   0.500   0.260
 106.771    0.999     0.242   0.500   0.257
 106.814    0.998     0.242   0.499   0.257
 106.858    1.000     0.241   0.500   0.259
 106.901    1.000     0.242   0.500   0.258
 106.945    0.999     0.241   0.499   0.258
 106.989    1.000     0.241   0.499   0.260
 107.032    1.001     0.241   0.501   0.259
 107.076    0.999     0.241   0.500   0.258
 107.120    0.998     0.242   0.498   0.258
 107.163    0.999     0.242   0.500   0.257
 107.207    1.004     0.242   0.502   0.260
 107.250    1.003     0.242   0.500   0.261
 107.294    0.999     0.241   0.499   0.258
 107.338    0.998     0.241   0.499   0.257
 107.381    1.002     0.242   0.500   0.260
 107.425    1.003     0.242   0.501   0.260
 107.469    1.001     0.241   0.500   0.260
 107.512    1.004     0.241   0.500   0.263
 107.556    1.005     0.242   0.501   0.263
 107.600    1.002     0.242   0.500   0.261
 107.643    0.999     0.241   0.500   0.258
 107.687    0.998     0.241   0.501   0.256
 107.730    1.000     0.241   0.500   0.259
 107.774    1.001     0.241   0.499   0.260
 107.818    0.997     0.241   0.500   0.255
 107.861    0.997     0.241   0.500   0.256
 107.905    1.001     0.242   0.499   0.260
 107.949    1.000     0.241   0.500   0.259
 107.992    0.999     0.241   0.500   0.257
 108.036    0.999     0.241   0.500   0.257
 108.080    0.997     0.241   0.501   0.255
 108.123    0.999     0.241   0.500   0.258
 108.167    1.004     0.241   0.500   0.263
 108.210    1.004     0.242   0.500   0.262
 108.254    0.997     0.241   0.499   0.257
 108.298    0.997     0.241   0.500   0.256
 108.341    1.001     0.241   0.501   0.259
 108.385    0.999     0.241   0.500   0.258
 108.429    0.998     0.241   0.498   0.258
 108.472    0.998     0.242   0.498   0.258
 108.516    0.998     0.241   0.499   0.257
 108.559    1.000     0.242   0.500   0.258
 108.603    1.000     0.242   0.500   0.259
 108.647    0.999     0.241   0.500   0.257
 108.690    1.000     0.241   0.500   0.259
 108.734    1.000     0.241   0.499   0.260
 108.778    0.999     0.241   0.499   0.258
 108.821    1.001     0.241   0.501   0.259
 108.865    1.002     0.241   0.501   0.260
 108.909    0.999     0.241   0.498   0.260
 108.952    0.999     0.242   0.499   0.259
 108.996    1.000     0.241   0.500   0.259
 109.039    1.001     0.241   0.500   0.260
 109.083    1.000     0.241   0.500   0.259
 109.127    1.002     0.242   0.500   0.260
 109.170    1.001     0.242   0.500   0.259
 109.214    0.997     0.241   0.499   0.256
 109.258    0.999     0.241   0.501   0.258
 109.301    1.002     0.241   0.502   0.259
 109.345    1.000     0.242   0.500   0.258
 109.389    1.000     0.241   0.499   0.260
 109.432    1.003     0.241   0.499   0.262
 109.476    1.002     0.241   0.500   0.261
 109.519    1.000     0.241   0.500   0.259
 109.563    0.999     0.242   0.500   0.258
 109.607    0.999     0.242   0.500   0.258
 109.650    1.001     0.241   0.501   0.259
 109.694    1.003     0.241   0.501   0.260
 109.738    1.004     0.242   0.500   0.262
 109.781    1.003     0.241   0.499   0.262
 109.825    1.000     0.241   0.501   0.258
 109.868    0.999     0.241   0.500   0.258
 109.912    0.999     0.242   0.499   0.259
 109.956    0.997     0.242   0.500   0.256
 109.999    0.997     0.241   0.500   0.256
 110.043    1.001     0.241   0.501   0.259
 110.087    1.000     0.241   0.501   0.257
 110.130    0.998     0.242   0.500   0.257
 110.174    1.001     0.242   0.498   0.261
 110.218    1.002     0.241   0.499   0.262
 110.261    1.000     0.241   0.500   0.258
 110.305    0.997     0.241   0.500   0.256
 110.348    0.998     0.241   0.499   0.258
 110.392    1.000     0.241   0.499   0.259
 110.436    1.001     0.241   0.501   0.259
 110.479    1.000     0.242   0.500   0.258
 110.523    0.999     0.241   0.499   0.259
 110.567    0.999     0.241   0.499   0.259
 110.610    0.999     0.242   0.499   0.258
 110.654    1.000     0.242   0.499   0.259
 110.698    0.998     0.241   0.499   0.258
