 Substance:Al_U       2023/12/12 09:53:01                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  13.526     0.018  -0.053  -0.034
  13.570     0.016  -0.052   0.051
  13.614     0.021  -0.043  -0.052
  13.657     0.022  -0.057  -0.171
  13.701     0.016  -0.032  -0.028
  13.744     0.021  -0.016   0.046
  13.788     0.020  -0.050  -0.081
  13.832     0.006  -0.051  -0.203
  13.875     0.004  -0.024  -0.203
  13.919     0.010  -0.024  -0.095
  13.963     0.013  -0.020  -0.027
  14.006     0.012  -0.008   0.020
  14.050     0.009  -0.002  -0.030
  14.094     0.008   0.008  -0.126
  14.137     0.008   0.018  -0.028
  14.181     0.002   0.031   0.078
  14.224    -0.001   0.047   0.036
  14.268    -0.004   0.038   0.021
  14.312    -0.009   0.017   0.002
  14.355    -0.002   0.021   0.014
  14.399    -0.002   0.018   0.114
  14.443    -0.009   0.019   0.062
  14.486    -0.007   0.042  -0.009
  14.530    -0.007   0.046   0.006
  14.573    -0.005   0.056   0.030
  14.617    -0.007   0.056   0.058
  14.661    -0.015   0.014   0.019
  14.704    -0.013   0.017  -0.014
  14.748    -0.011   0.060   0.031
  14.792    -0.015   0.037   0.104
  14.835    -0.016   0.007   0.040
  14.879    -0.013   0.017   0.002
  14.923    -0.014   0.009   0.106
  14.966    -0.015   0.001   0.057
  15.010    -0.019  -0.010  -0.005
  15.053    -0.022  -0.011   0.046
  15.097    -0.015  -0.009   0.048
  15.141    -0.013  -0.024   0.088
  15.184    -0.012  -0.022   0.089
  15.228    -0.006  -0.025  -0.011
  15.272    -0.007  -0.035   0.005
  15.315    -0.012  -0.025   0.020
  15.359    -0.014  -0.027  -0.000
  15.403    -0.006  -0.042   0.033
  15.446    -0.006  -0.036  -0.013
  15.490    -0.009  -0.025  -0.045
