 Substance:Al_U       2023/12/12 09:53:56                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]  0.174532935    

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  23.518    -0.002  -0.002   0.030
  23.562    -0.002  -0.002   0.026
  23.606    -0.001  -0.003   0.019
  23.649    -0.001  -0.003   0.013
  23.693    -0.001  -0.004   0.005
  23.736    -0.001  -0.004  -0.002
  23.780    -0.000  -0.004  -0.010
  23.824    -0.000  -0.004  -0.017
  23.867     0.000  -0.002  -0.024
  23.911     0.001  -0.000  -0.028
  23.955     0.001   0.002  -0.030
  23.998     0.002   0.003  -0.030
  24.042     0.002   0.004  -0.027
  24.086     0.003   0.003  -0.022
  24.129     0.003   0.001  -0.017
  24.173     0.004  -0.001  -0.012
  24.216     0.004  -0.002  -0.008
  24.260     0.005  -0.003  -0.006
  24.304     0.006  -0.003  -0.006
  24.347     0.006  -0.002  -0.008
  24.391     0.006  -0.000  -0.012
  24.435     0.006   0.000  -0.018
  24.478     0.005   0.001  -0.023
  24.522     0.005   0.000  -0.027
  24.566     0.005   0.000  -0.029
  24.609     0.005  -0.000  -0.027
  24.653     0.005  -0.000  -0.022
  24.696     0.005   0.000  -0.015
  24.740     0.004   0.000  -0.007
  24.784     0.003   0.001   0.001
  24.827     0.002   0.002   0.006
  24.871     0.002   0.002   0.010
  24.915     0.001   0.003   0.012
  24.958     0.001   0.003   0.014
  25.002     0.001   0.002   0.015
  25.045     0.001   0.002   0.016
  25.089     0.001   0.002   0.017
  25.133     0.000   0.001   0.018
  25.176    -0.000   0.002   0.018
  25.220    -0.000   0.002   0.019
  25.264    -0.001   0.003   0.020
  25.307    -0.001   0.002   0.020
  25.351    -0.002   0.002   0.020
  25.395    -0.002   0.000   0.018
  25.438    -0.003  -0.001   0.015
  25.482    -0.004  -0.002   0.012
  25.525    -0.004  -0.002   0.011
  25.569    -0.005  -0.001   0.013
  25.613    -0.005   0.001   0.017
  25.656    -0.004   0.002   0.022
  25.700    -0.004   0.002   0.026
  25.744    -0.004   0.001   0.025
  25.787    -0.004  -0.001   0.021
  25.831    -0.004  -0.003   0.013
  25.875    -0.004  -0.004   0.004
  25.918    -0.004  -0.004  -0.003
  25.962    -0.004  -0.004  -0.008
  26.005    -0.004  -0.003  -0.011
  26.049    -0.004  -0.002  -0.011
  26.093    -0.003  -0.001  -0.012
  26.136    -0.003  -0.001  -0.015
  26.180    -0.002  -0.002  -0.020
  26.224    -0.001  -0.002  -0.026
  26.267    -0.001  -0.001  -0.033
  26.311    -0.001  -0.000  -0.037
  26.354    -0.001   0.001  -0.039
  26.398    -0.002   0.002  -0.038
  26.442    -0.002   0.002  -0.034
  26.485    -0.002   0.001  -0.029
  26.529    -0.001  -0.000  -0.023
  26.573     0.000  -0.002  -0.018
  26.616     0.001  -0.003  -0.013
  26.660     0.002  -0.003  -0.009
  26.704     0.002  -0.002  -0.005
  26.747     0.002  -0.000   0.000
  26.791     0.003   0.001   0.005
  26.834     0.003   0.002   0.008
  26.878     0.003   0.002   0.011
  26.922     0.004   0.001   0.011
  26.965     0.004   0.001   0.010
  27.009     0.004   0.001   0.008
  27.053     0.005   0.001   0.005
  27.096     0.005   0.002   0.003
  27.140     0.005   0.003   0.002
  27.184     0.005   0.002   0.003
  27.227     0.005   0.002   0.007
  27.271     0.004   0.001   0.013
  27.314     0.004   0.000   0.020
  27.358     0.003   0.000   0.027
  27.402     0.003   0.001   0.030
  27.445     0.002   0.002   0.031
  27.489     0.001   0.004   0.027
  27.533     0.001   0.004   0.022
  27.576     0.000   0.004   0.018
  27.620     0.000   0.003   0.014
  27.663     0.001   0.001   0.014
  27.707     0.001  -0.001   0.014
  27.751     0.001  -0.003   0.016
  27.794     0.001  -0.004   0.016
  27.838     0.001  -0.004   0.014
  27.882     0.000  -0.003   0.010
  27.925    -0.000  -0.002   0.006
  27.969    -0.001  -0.001   0.000
  28.013    -0.002  -0.001  -0.005
  28.056    -0.002  -0.002  -0.010
  28.100    -0.003  -0.003  -0.014
  28.143    -0.003  -0.003  -0.017
  28.187    -0.003  -0.004  -0.019
  28.231    -0.002  -0.003  -0.020
  28.274    -0.002  -0.002  -0.021
  28.318    -0.002  -0.000  -0.022
  28.362    -0.002   0.001  -0.023
  28.405    -0.002   0.002  -0.024
  28.449    -0.002   0.002  -0.025
  28.493    -0.003   0.001  -0.025
  28.536    -0.003  -0.000  -0.025
  28.580    -0.003  -0.001  -0.024
  28.623    -0.003  -0.001  -0.022
  28.667    -0.003  -0.000  -0.020
  28.711    -0.003   0.001  -0.018
  28.754    -0.003   0.002  -0.016
  28.798    -0.002   0.003  -0.014
  28.842    -0.002   0.003  -0.011
  28.885    -0.002   0.002  -0.006
  28.929    -0.002   0.000  -0.001
  28.972    -0.002  -0.001   0.006
  29.016    -0.002  -0.002   0.013
  29.060    -0.002  -0.002   0.019
  29.103    -0.002  -0.001   0.022
  29.147    -0.002  -0.000   0.022
  29.191    -0.001   0.001   0.020
  29.234    -0.001   0.002   0.016
  29.278     0.000   0.003   0.013
  29.322     0.001   0.003   0.012
  29.365     0.001   0.003   0.013
  29.409     0.002   0.003   0.016
  29.452     0.002   0.003   0.018
  29.496     0.002   0.002   0.019
  29.540     0.001   0.001   0.019
  29.583     0.001  -0.000   0.018
  29.627     0.001  -0.001   0.016
  29.671     0.002  -0.001   0.014
  29.714     0.002  -0.001   0.013
  29.758     0.003  -0.001   0.011
  29.801     0.003  -0.001   0.010
  29.845     0.003  -0.001   0.008
  29.889     0.004  -0.001   0.007
  29.932     0.003  -0.001   0.006
