 Substance:Al_U       2023/12/12 09:53:56                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]  0.174532935    

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  94.553    -0.000   0.000   0.004
  94.597    -0.000   0.000   0.002
  94.640    -0.000   0.000   0.001
  94.684    -0.000   0.000   0.000
  94.728    -0.000  -0.000  -0.001
  94.771    -0.000  -0.000  -0.001
  94.815    -0.000  -0.000  -0.002
  94.859     0.000  -0.000  -0.002
  94.902    -0.000  -0.000  -0.002
  94.946    -0.000  -0.000  -0.002
  94.990    -0.000  -0.000  -0.002
  95.033    -0.000  -0.000  -0.002
  95.077    -0.000  -0.000  -0.002
  95.120    -0.000  -0.000  -0.002
  95.164    -0.000   0.000  -0.002
  95.208    -0.000   0.001  -0.002
  95.251    -0.000   0.001  -0.002
  95.295    -0.000   0.001  -0.002
  95.339    -0.000   0.001  -0.002
  95.382    -0.000   0.000  -0.001
  95.426    -0.000   0.000  -0.000
  95.470    -0.000   0.000   0.001
  95.513    -0.000   0.000   0.002
  95.557     0.000   0.000   0.001
  95.600     0.000  -0.000   0.001
  95.644     0.001  -0.000  -0.001
  95.688     0.001  -0.000  -0.002
  95.731     0.001  -0.001  -0.003
  95.775     0.000  -0.001  -0.003
  95.819     0.000  -0.001  -0.002
  95.862     0.000  -0.000  -0.001
  95.906     0.000  -0.000   0.001
  95.949     0.000   0.000   0.003
  95.993     0.000   0.000   0.003
  96.037     0.000   0.000   0.003
  96.080     0.000   0.000   0.003
  96.124     0.000   0.000   0.002
  96.168     0.000   0.000   0.002
  96.211     0.000   0.000   0.002
  96.255     0.000   0.000   0.002
  96.299     0.000   0.000   0.002
  96.342     0.000   0.000   0.001
  96.386     0.000   0.001   0.000
  96.429     0.000   0.001  -0.001
  96.473     0.000   0.000  -0.002
  96.517     0.000   0.000  -0.003
  96.560     0.000   0.000  -0.002
  96.604    -0.000   0.000  -0.001
  96.648    -0.000   0.000   0.000
  96.691    -0.000   0.000   0.002
  96.735    -0.000   0.000   0.003
  96.779    -0.000  -0.000   0.003
  96.822    -0.000  -0.000   0.003
  96.866     0.000  -0.000   0.003
  96.909     0.000  -0.001   0.002
  96.953     0.000  -0.001   0.002
  96.997     0.000  -0.001   0.002
  97.040    -0.000  -0.000   0.001
  97.084    -0.000  -0.000  -0.001
  97.128    -0.000  -0.000  -0.002
  97.171    -0.000  -0.000  -0.004
  97.215    -0.000  -0.000  -0.005
  97.258    -0.000  -0.000  -0.005
  97.302    -0.000  -0.000  -0.005
  97.346    -0.000  -0.000  -0.005
  97.389    -0.000  -0.000  -0.004
  97.433    -0.000  -0.000  -0.003
  97.477    -0.001  -0.000  -0.002
  97.520    -0.001  -0.000  -0.001
  97.564    -0.001  -0.000   0.001
  97.608    -0.001  -0.000   0.002
  97.651    -0.000   0.000   0.003
  97.695    -0.000   0.001   0.004
  97.738    -0.000   0.001   0.004
  97.782     0.000   0.001   0.004
  97.826     0.000   0.001   0.003
  97.869     0.000   0.001   0.002
  97.913     0.000   0.000   0.000
  97.957    -0.000   0.000  -0.001
  98.000     0.000   0.000  -0.003
  98.044     0.000   0.000  -0.004
  98.088     0.000   0.000  -0.004
  98.131     0.000   0.000  -0.003
  98.175     0.000   0.000  -0.002
  98.218     0.000   0.000   0.001
  98.262     0.000   0.000   0.003
  98.306     0.000   0.000   0.004
  98.349     0.000   0.000   0.005
  98.393     0.000  -0.000   0.005
  98.437     0.000  -0.000   0.003
  98.480     0.000  -0.000   0.002
  98.524     0.000  -0.000  -0.000
  98.567     0.000  -0.000  -0.001
  98.611     0.000  -0.000  -0.001
  98.655     0.000  -0.000  -0.001
  98.698     0.000  -0.000  -0.000
  98.742     0.000  -0.000   0.001
  98.786     0.000  -0.000   0.002
  98.829     0.000  -0.000   0.002
  98.873     0.000  -0.000   0.002
  98.917     0.000  -0.000   0.000
  98.960     0.000  -0.000  -0.002
  99.004     0.000  -0.000  -0.004
  99.047     0.000  -0.000  -0.006
  99.091     0.000  -0.000  -0.007
  99.135     0.000  -0.000  -0.006
  99.178     0.000  -0.001  -0.004
  99.222    -0.000  -0.001  -0.001
  99.266    -0.000  -0.001   0.002
  99.309    -0.000  -0.001   0.004
  99.353    -0.000  -0.001   0.005
  99.397    -0.000  -0.001   0.005
  99.440    -0.000  -0.000   0.005
  99.484    -0.000   0.000   0.004
  99.527    -0.000   0.001   0.003
  99.571    -0.000   0.001   0.001
  99.615    -0.000   0.001  -0.000
  99.658    -0.000   0.001  -0.002
  99.702    -0.000   0.001  -0.004
  99.746    -0.000   0.001  -0.004
  99.789    -0.000   0.001  -0.004
  99.833    -0.000   0.000  -0.003
  99.876    -0.001   0.001  -0.001
  99.920    -0.001   0.001   0.000
  99.964    -0.001   0.000   0.002
 100.007    -0.000   0.000   0.003
 100.051    -0.000   0.000   0.003
 100.095    -0.000  -0.000   0.002
 100.138     0.000  -0.000   0.001
 100.182     0.000  -0.000  -0.000
 100.226     0.000   0.000  -0.001
 100.269     0.000   0.000  -0.001
 100.313     0.000   0.000  -0.001
 100.356     0.000  -0.000  -0.000
 100.400    -0.000  -0.000   0.001
 100.444    -0.000  -0.000   0.001
 100.487    -0.000  -0.001   0.001
 100.531    -0.000  -0.000   0.001
 100.575    -0.000  -0.000  -0.001
 100.618    -0.000   0.000  -0.002
 100.662     0.000   0.000  -0.003
 100.706     0.000   0.000  -0.003
 100.749     0.000   0.000  -0.002
 100.793     0.000   0.000  -0.000
 100.836     0.000  -0.000   0.001
 100.880     0.000  -0.000   0.003
 100.924     0.000  -0.000   0.004
 100.967     0.000  -0.000   0.004
 101.011     0.000  -0.000   0.003
 101.055    -0.000   0.000   0.000
 101.098    -0.000   0.000  -0.002
 101.142    -0.000  -0.000  -0.004
 101.185    -0.000  -0.001  -0.005
 101.229    -0.000  -0.001  -0.005
 101.273    -0.000  -0.001  -0.004
 101.316    -0.000  -0.001  -0.003
 101.360    -0.000  -0.001  -0.001
 101.404    -0.000  -0.001   0.001
 101.447    -0.000  -0.001   0.002
 101.491    -0.000  -0.000   0.003
 101.535     0.000   0.000   0.004
 101.578     0.000   0.001   0.004
 101.622     0.000   0.001   0.004
 101.665     0.000   0.001   0.004
 101.709     0.001   0.001   0.003
 101.753     0.000   0.001   0.002
 101.796     0.000   0.001   0.001
 101.840     0.000   0.001   0.001
 101.884    -0.000   0.001   0.001
 101.927    -0.000   0.002   0.000
 101.971    -0.000   0.001  -0.000
 102.015    -0.000   0.001  -0.001
 102.058    -0.000   0.001  -0.002
 102.102    -0.000  -0.000  -0.004
 102.145    -0.000  -0.000  -0.004
 102.189    -0.000  -0.001  -0.004
 102.233     0.000  -0.001  -0.004
 102.276     0.000  -0.000  -0.003
 102.320     0.000   0.000  -0.002
 102.364     0.000   0.000  -0.001
 102.407     0.000   0.000  -0.001
 102.451     0.000   0.000  -0.001
 102.494     0.000  -0.000  -0.001
 102.538     0.000  -0.001  -0.000
 102.582    -0.000  -0.001   0.001
 102.625    -0.000  -0.001   0.002
 102.669    -0.000  -0.001   0.002
 102.713    -0.000  -0.001   0.002
 102.756    -0.000  -0.001   0.002
 102.800    -0.000  -0.001   0.001
 102.844    -0.000  -0.001   0.001
 102.887    -0.000  -0.000   0.000
 102.931    -0.000  -0.000  -0.000
 102.974    -0.001   0.000  -0.000
 103.018    -0.000   0.000  -0.000
 103.062    -0.000   0.001  -0.000
 103.105    -0.000   0.001  -0.000
 103.149    -0.000   0.001  -0.001
 103.193    -0.000   0.001  -0.000
 103.236    -0.000   0.000  -0.000
 103.280    -0.000   0.000   0.000
 103.323    -0.000  -0.000   0.001
 103.367    -0.000  -0.000   0.001
 103.411    -0.000  -0.000   0.002
 103.454    -0.000   0.000   0.002
 103.498     0.000   0.000   0.002
 103.542     0.000   0.000   0.002
 103.585     0.000   0.000   0.001
 103.629     0.000   0.000   0.000
 103.673    -0.000   0.000  -0.000
 103.716    -0.000   0.000  -0.000
 103.760    -0.000   0.000  -0.000
 103.803    -0.000   0.000   0.000
 103.847    -0.000   0.000   0.001
 103.891     0.000   0.000   0.002
 103.934     0.000   0.000   0.002
 103.978     0.000   0.001   0.002
 104.022     0.000   0.001   0.002
 104.065     0.000   0.001   0.001
 104.109     0.001   0.001   0.000
 104.153     0.001   0.000  -0.001
 104.196     0.001  -0.000  -0.001
 104.240     0.000  -0.000  -0.002
 104.283     0.000  -0.001  -0.002
 104.327    -0.000  -0.000  -0.003
 104.371    -0.000  -0.000  -0.004
 104.414    -0.000   0.000  -0.004
 104.458    -0.000   0.000  -0.005
 104.502    -0.000   0.000  -0.004
 104.545     0.000  -0.000  -0.003
 104.589     0.000  -0.001  -0.002
 104.632     0.000  -0.001  -0.002
 104.676     0.000  -0.001  -0.001
 104.720     0.000  -0.001   0.000
 104.763     0.000  -0.001   0.001
 104.807    -0.000  -0.001   0.001
 104.851    -0.000  -0.001   0.001
 104.894    -0.000  -0.001   0.002
 104.938    -0.000  -0.001   0.002
 104.982    -0.000  -0.001   0.001
 105.025     0.000  -0.001   0.001
 105.069     0.000  -0.000   0.000
 105.112     0.000  -0.000   0.000
 105.156    -0.000   0.000   0.001
 105.200    -0.000   0.001   0.002
 105.243    -0.000   0.001   0.003
 105.287    -0.000   0.001   0.003
 105.331    -0.000   0.001   0.004
 105.374    -0.000   0.000   0.004
 105.418    -0.000   0.000   0.003
 105.462    -0.000  -0.000   0.003
 105.505    -0.000  -0.000   0.003
 105.549    -0.000  -0.000   0.002
 105.592    -0.000   0.000   0.002
 105.636    -0.000   0.000   0.001
 105.680    -0.000   0.001  -0.000
 105.723    -0.000   0.001  -0.001
 105.767    -0.000   0.001  -0.002
 105.811    -0.000   0.001  -0.002
 105.854    -0.000   0.001  -0.002
 105.898    -0.000   0.001  -0.002
 105.941    -0.000   0.001  -0.002
 105.985    -0.000   0.001  -0.002
 106.029    -0.000   0.001  -0.002
 106.072    -0.000   0.000  -0.003
 106.116    -0.000   0.000  -0.003
 106.160    -0.000  -0.000  -0.003
 106.203    -0.000  -0.001  -0.002
 106.247    -0.000  -0.001  -0.001
 106.291    -0.000  -0.002   0.000
 106.334    -0.000  -0.002   0.002
 106.378    -0.000  -0.001   0.002
 106.421    -0.000  -0.001   0.002
 106.465    -0.000  -0.001   0.001
 106.509     0.000  -0.000  -0.000
 106.552     0.000  -0.000  -0.002
 106.596     0.000  -0.000  -0.002
 106.640     0.000  -0.000  -0.002
 106.683     0.000  -0.001  -0.002
 106.727     0.000  -0.000  -0.002
 106.771     0.000  -0.000  -0.001
 106.814     0.000  -0.000  -0.001
 106.858     0.000  -0.000  -0.001
 106.901    -0.000  -0.000  -0.001
 106.945    -0.000  -0.000  -0.001
 106.989    -0.000  -0.000  -0.001
 107.032    -0.000   0.000  -0.001
 107.076     0.000   0.000  -0.001
 107.120     0.000   0.000  -0.000
 107.163     0.000   0.000  -0.000
 107.207     0.000   0.000   0.000
 107.250     0.000   0.000   0.001
 107.294     0.000   0.000   0.002
 107.338     0.000   0.000   0.003
 107.381     0.000   0.001   0.004
 107.425     0.000   0.001   0.006
 107.469     0.000   0.001   0.007
 107.512     0.000   0.001   0.008
 107.556     0.000   0.001   0.007
 107.600    -0.000   0.001   0.005
 107.643    -0.000   0.000   0.003
 107.687    -0.000   0.000   0.001
 107.730    -0.000   0.000  -0.001
 107.774    -0.000   0.000  -0.003
 107.818    -0.000   0.000  -0.003
 107.861    -0.000   0.000  -0.004
 107.905     0.000   0.000  -0.004
 107.949     0.000   0.000  -0.004
 107.992     0.000   0.000  -0.004
 108.036     0.000   0.000  -0.003
 108.080    -0.000   0.000  -0.002
 108.123    -0.000   0.000  -0.001
 108.167    -0.000   0.000   0.000
 108.210    -0.000   0.000   0.000
 108.254    -0.000   0.000   0.000
 108.298    -0.000  -0.000  -0.001
 108.341    -0.000  -0.001  -0.002
 108.385    -0.000  -0.001  -0.002
 108.429    -0.000  -0.001  -0.003
 108.472     0.000  -0.001  -0.003
 108.516     0.000  -0.001  -0.003
 108.559    -0.000  -0.001  -0.002
 108.603    -0.000  -0.001  -0.002
 108.647    -0.000  -0.001  -0.001
 108.690    -0.000  -0.000  -0.000
 108.734    -0.000  -0.000   0.000
 108.778    -0.000  -0.000   0.001
 108.821    -0.000  -0.000   0.001
 108.865    -0.000  -0.000   0.002
 108.909    -0.000  -0.000   0.002
 108.952    -0.000  -0.000   0.002
 108.996    -0.000  -0.000   0.002
 109.039    -0.000  -0.000   0.002
 109.083     0.000   0.000   0.001
 109.127     0.000   0.001  -0.000
 109.170     0.000   0.001  -0.001
 109.214     0.000   0.001  -0.001
 109.258     0.000   0.001  -0.001
 109.301     0.000   0.001  -0.000
 109.345     0.000   0.001   0.001
 109.389     0.000   0.000   0.002
 109.432     0.000  -0.000   0.003
 109.476     0.000  -0.000   0.003
 109.519     0.000  -0.000   0.002
 109.563     0.000   0.000   0.002
 109.607     0.000   0.001   0.002
 109.650     0.000   0.001   0.003
 109.694     0.000   0.001   0.003
 109.738     0.000   0.001   0.004
 109.781     0.000   0.001   0.003
 109.825     0.000   0.000   0.002
 109.868     0.000  -0.000  -0.000
 109.912     0.000  -0.000  -0.002
 109.956     0.000  -0.000  -0.004
 109.999     0.000  -0.000  -0.004
 110.043    -0.000   0.000  -0.003
 110.087     0.000   0.000  -0.002
 110.130     0.000  -0.000  -0.001
 110.174     0.000  -0.000   0.000
 110.218     0.000  -0.000   0.001
 110.261     0.000  -0.000   0.000
 110.305     0.000  -0.000  -0.000
 110.348     0.000  -0.000  -0.001
 110.392     0.000  -0.000  -0.001
 110.436     0.000  -0.000  -0.001
 110.479     0.000  -0.000  -0.001
 110.523     0.000  -0.001  -0.001
 110.567     0.000  -0.001  -0.001
 110.610     0.000  -0.001  -0.002
 110.654     0.000  -0.001  -0.002
 110.698     0.000  -0.001  -0.003
 110.741     0.000  -0.000  -0.004
 110.785     0.000  -0.000  -0.004
 110.828    -0.000   0.000  -0.004
 110.872    -0.000   0.000  -0.003
 110.916    -0.000   0.000  -0.002
 110.959    -0.000  -0.000  -0.001
 111.003    -0.000  -0.000   0.000
 111.047    -0.000   0.000   0.002
 111.090    -0.000   0.000   0.003
 111.134    -0.000   0.000   0.004
 111.177    -0.000   0.000   0.004
 111.221    -0.000   0.000   0.004
 111.265    -0.000   0.001   0.004
 111.308    -0.000   0.001   0.003
 111.352    -0.001   0.001   0.002
 111.396    -0.001   0.001   0.002
 111.439    -0.001   0.001   0.002
 111.483    -0.001   0.001   0.002
 111.527    -0.001   0.001   0.003
 111.570    -0.000   0.001   0.003
 111.614    -0.000   0.000   0.002
 111.657    -0.000   0.000   0.001
 111.701     0.000   0.000   0.000
 111.745     0.000  -0.000  -0.001
 111.788     0.000  -0.000  -0.001
 111.832     0.000  -0.000  -0.001
 111.876     0.000  -0.000  -0.001
 111.919     0.000  -0.000  -0.001
 111.963     0.000  -0.000  -0.001
 112.007     0.000  -0.000  -0.001
 112.050     0.000  -0.001  -0.002
 112.094     0.000  -0.001  -0.002
 112.137     0.000  -0.001  -0.002
 112.181     0.000  -0.001  -0.001
 112.225     0.000  -0.001  -0.000
 112.268     0.000  -0.001   0.001
 112.312     0.000  -0.001   0.002
 112.356     0.000  -0.001   0.003
 112.399     0.000  -0.001   0.003
 112.443     0.000  -0.001   0.002
 112.486     0.000  -0.001   0.001
 112.530     0.000  -0.001   0.000
 112.574     0.000  -0.001  -0.001
 112.617    -0.000  -0.001  -0.003
 112.661    -0.000  -0.000  -0.004
 112.705    -0.000   0.000  -0.005
 112.748     0.000   0.001  -0.007
 112.792     0.000   0.001  -0.007
 112.836     0.000   0.001  -0.007
 112.879     0.000   0.001  -0.006
 112.923     0.000   0.001  -0.005
 112.966     0.000   0.001  -0.003
 113.010     0.000   0.001  -0.001
 113.054     0.000   0.001   0.001
 113.097     0.000   0.001   0.003
 113.141    -0.000   0.001   0.003
 113.185    -0.000   0.001   0.004
 113.228     0.000   0.000   0.004
 113.272     0.000   0.000   0.004
 113.316     0.000   0.000   0.003
 113.359     0.000  -0.000   0.003
 113.403    -0.000  -0.000   0.003
 113.446    -0.000  -0.000   0.002
 113.490    -0.000  -0.000   0.003
 113.534    -0.000   0.000   0.003
 113.577    -0.000   0.000   0.004
 113.621    -0.000   0.000   0.005
 113.665    -0.000   0.000   0.005
 113.708    -0.000   0.000   0.004
 113.752    -0.000  -0.000   0.002
 113.795    -0.000  -0.000  -0.000
 113.839    -0.000  -0.000  -0.003
 113.883    -0.000  -0.000  -0.004
 113.926    -0.000  -0.000  -0.005
 113.970    -0.000  -0.000  -0.004
 114.014    -0.000   0.000  -0.002
 114.057    -0.000  -0.000  -0.000
 114.101    -0.000  -0.000   0.002
 114.145    -0.000  -0.001   0.003
 114.188    -0.000  -0.001   0.003
 114.232    -0.000  -0.001   0.002
 114.275    -0.000  -0.001   0.002
 114.319    -0.000  -0.001   0.001
 114.363    -0.000  -0.001  -0.000
 114.406    -0.000  -0.001  -0.001
 114.450    -0.000  -0.001  -0.003
 114.494    -0.000  -0.001  -0.004
 114.537    -0.000  -0.001  -0.005
 114.581     0.000  -0.001  -0.005
 114.625     0.000  -0.000  -0.005
 114.668     0.000  -0.000  -0.003
 114.712     0.000  -0.000  -0.002
 114.755     0.000   0.000  -0.001
 114.799     0.000   0.000   0.000
 114.843     0.000   0.000   0.000
 114.886     0.000   0.000  -0.000
 114.930     0.000   0.001  -0.001
 114.974     0.000   0.001  -0.002
 115.017     0.000   0.001  -0.002
 115.061     0.000   0.001  -0.002
 115.104     0.000   0.001  -0.002
 115.148     0.000   0.001  -0.001
 115.192     0.000   0.002  -0.000
 115.235    -0.000   0.002   0.001
 115.279    -0.000   0.002   0.001
 115.323    -0.000   0.002   0.001
 115.366    -0.000   0.002   0.001
 115.410    -0.000   0.001   0.001
 115.454    -0.000   0.001   0.001
 115.497     0.000   0.001   0.002
 115.541     0.000   0.000   0.004
 115.584     0.000   0.000   0.005
 115.628     0.000   0.000   0.007
 115.672     0.000  -0.000   0.007
 115.715     0.000  -0.000   0.007
 115.759     0.000  -0.001   0.005
 115.803     0.000  -0.001   0.004
 115.846     0.000  -0.001   0.002
 115.890     0.000  -0.001   0.001
 115.934    -0.000  -0.002  -0.000
 115.977    -0.000  -0.002  -0.000
 116.021    -0.000  -0.002  -0.000
 116.064    -0.000  -0.002  -0.000
 116.108    -0.000  -0.002  -0.000
 116.152    -0.000  -0.002  -0.000
 116.195    -0.000  -0.002  -0.001
 116.239    -0.000  -0.001  -0.001
 116.283    -0.000  -0.001  -0.001
 116.326    -0.000  -0.001  -0.002
 116.370    -0.000  -0.000  -0.002
 116.413    -0.000  -0.000  -0.003
 116.457    -0.000   0.000  -0.004
 116.501    -0.000   0.000  -0.004
 116.544    -0.000   0.001  -0.004
 116.588    -0.000   0.001  -0.004
 116.632    -0.000   0.001  -0.004
 116.675    -0.000   0.001  -0.004
 116.719    -0.000   0.000  -0.004
 116.763    -0.000   0.000  -0.004
 116.806    -0.000   0.000  -0.004
 116.850    -0.000   0.001  -0.004
 116.893    -0.000   0.001  -0.003
 116.937    -0.000   0.001  -0.001
 116.981    -0.000   0.001   0.000
 117.024    -0.000   0.001   0.002
 117.068    -0.000   0.001   0.002
 117.112    -0.000   0.002   0.003
 117.155    -0.000   0.002   0.003
 117.199    -0.000   0.002   0.003
 117.243     0.000   0.002   0.003
 117.286     0.000   0.002   0.003
 117.330     0.000   0.001   0.003
 117.373     0.000   0.001   0.003
 117.417     0.000   0.000   0.002
 117.461     0.000   0.000   0.001
 117.504     0.000  -0.000   0.001
 117.548     0.000  -0.000   0.001
 117.592     0.000  -0.000   0.002
 117.635     0.000  -0.000   0.002
 117.679     0.000  -0.000   0.002
 117.722     0.000  -0.001   0.001
 117.766     0.000  -0.001   0.001
 117.810     0.000  -0.001   0.000
 117.853     0.000  -0.001   0.000
 117.897     0.000  -0.001   0.001
 117.941     0.000  -0.001   0.001
 117.984     0.000  -0.001   0.002
 118.028     0.000  -0.001   0.002
 118.072     0.000  -0.001   0.002
 118.115     0.000  -0.001   0.002
 118.159     0.000  -0.001   0.002
 118.202     0.000  -0.001   0.003
 118.246     0.000  -0.001   0.003
 118.290     0.000  -0.001   0.003
 118.333     0.000  -0.001   0.002
 118.377     0.001  -0.001   0.001
 118.421     0.001  -0.001  -0.002
 118.464     0.001  -0.001  -0.004
 118.508     0.000  -0.001  -0.006
 118.551     0.000  -0.001  -0.007
 118.595     0.000  -0.001  -0.008
 118.639     0.000  -0.001  -0.008
 118.682     0.000  -0.001  -0.007
 118.726     0.000  -0.001  -0.007
 118.770     0.000  -0.001  -0.006
 118.813     0.000  -0.000  -0.005
 118.857    -0.000   0.000  -0.005
 118.901    -0.000   0.001  -0.005
 118.944    -0.000   0.001  -0.005
 118.988    -0.000   0.002  -0.004
 119.031    -0.000   0.002  -0.003
 119.075    -0.000   0.002  -0.001
 119.119    -0.000   0.002   0.002
 119.162    -0.000   0.002   0.005
 119.206    -0.000   0.002   0.008
 119.250    -0.000   0.002   0.009
 119.293    -0.000   0.002   0.009
 119.337    -0.000   0.002   0.008
 119.381    -0.000   0.002   0.007
 119.424    -0.001   0.002   0.005
 119.468    -0.001   0.002   0.004
 119.511    -0.001   0.002   0.003
 119.555    -0.001   0.002   0.002
 119.599    -0.001   0.001   0.002
 119.642    -0.000   0.001   0.001
 119.686    -0.000   0.000   0.000
 119.730    -0.000  -0.001  -0.000
 119.773    -0.000  -0.001  -0.001
 119.817    -0.000  -0.002  -0.001
 119.860    -0.000  -0.002  -0.001
 119.904    -0.000  -0.003  -0.001
 119.948    -0.000  -0.002   0.000
 119.991    -0.000  -0.002   0.001
 120.035    -0.000  -0.002   0.001
 120.079    -0.000  -0.002   0.001
 120.122     0.000  -0.002   0.001
 120.166     0.000  -0.002  -0.000
 120.210     0.000  -0.002  -0.001
 120.253     0.000  -0.001  -0.002
 120.297     0.000  -0.001  -0.002
 120.340     0.000  -0.001  -0.001
 120.384     0.000  -0.001  -0.001
 120.428     0.000  -0.001   0.000
 120.471     0.000  -0.001   0.000
 120.515     0.000  -0.000  -0.000
 120.559     0.000  -0.000  -0.001
 120.602     0.000  -0.000  -0.003
 120.646     0.001  -0.000  -0.004
 120.690     0.001  -0.000  -0.005
 120.733     0.001  -0.000  -0.005
 120.777     0.001   0.000  -0.006
 120.820     0.000   0.000  -0.006
 120.864     0.000   0.001  -0.005
 120.908     0.000   0.001  -0.005
 120.951     0.000   0.001  -0.003
 120.995     0.000   0.001  -0.002
 121.039     0.000   0.001  -0.000
 121.082     0.000   0.001   0.001
 121.126     0.001   0.001   0.003
 121.169     0.001   0.001   0.004
 121.213     0.001   0.002   0.005
 121.257     0.000   0.002   0.005
 121.300     0.000   0.002   0.004
 121.344     0.000   0.002   0.004
 121.388     0.000   0.002   0.003
 121.431     0.000   0.002   0.002
 121.475    -0.000   0.001   0.002
 121.519    -0.000   0.001   0.002
 121.562    -0.000   0.001   0.002
 121.606    -0.000   0.001   0.002
 121.649    -0.000   0.001   0.002
 121.693    -0.001   0.001   0.001
 121.737    -0.001   0.001   0.000
 121.780    -0.001   0.000  -0.000
 121.824    -0.001  -0.000  -0.000
 121.868    -0.001  -0.000   0.000
 121.911    -0.001  -0.000   0.001
 121.955    -0.001  -0.001   0.002
 121.999    -0.001  -0.001   0.003
 122.042    -0.001  -0.001   0.002
 122.086    -0.001  -0.001   0.002
 122.129    -0.001  -0.001   0.001
 122.173    -0.001  -0.002   0.000
 122.217    -0.001  -0.002  -0.000
 122.260    -0.001  -0.002  -0.001
 122.304    -0.001  -0.002  -0.001
 122.348    -0.001  -0.002  -0.001
 122.391    -0.001  -0.002  -0.001
 122.435    -0.000  -0.002  -0.001
 122.478    -0.000  -0.002  -0.001
 122.522    -0.000  -0.002  -0.002
 122.566    -0.000  -0.002  -0.003
 122.609    -0.000  -0.002  -0.004
 122.653     0.000  -0.001  -0.005
 122.697     0.000  -0.001  -0.006
 122.740     0.000  -0.001  -0.006
 122.784     0.001   0.000  -0.006
 122.828     0.001   0.001  -0.005
 122.871     0.001   0.001  -0.004
 122.915     0.001   0.001  -0.003
 122.958     0.001   0.001  -0.003
 123.002     0.001   0.001  -0.002
 123.046     0.001   0.002  -0.001
 123.089     0.001   0.002   0.001
 123.133     0.001   0.002   0.003
 123.177     0.001   0.002   0.005
 123.220     0.001   0.002   0.006
 123.264     0.001   0.002   0.007
 123.308     0.001   0.002   0.007
 123.351     0.001   0.002   0.006
 123.395     0.001   0.002   0.006
 123.438     0.001   0.002   0.005
 123.482     0.001   0.001   0.004
 123.526     0.001   0.001   0.004
 123.569     0.001   0.001   0.003
 123.613     0.000   0.001   0.002
 123.657     0.000   0.000   0.000
 123.700     0.000  -0.000  -0.001
 123.744     0.000  -0.000  -0.002
 123.787     0.000  -0.001  -0.003
 123.831     0.000  -0.001  -0.004
 123.875     0.000  -0.001  -0.004
 123.918    -0.000  -0.001  -0.003
 123.962    -0.000  -0.001  -0.003
 124.006    -0.000  -0.001  -0.002
 124.049    -0.001  -0.001  -0.002
 124.093    -0.001  -0.001  -0.001
 124.137    -0.001  -0.001  -0.001
 124.180    -0.001  -0.001  -0.000
 124.224    -0.001  -0.000   0.000
 124.267    -0.001  -0.000   0.001
 124.311    -0.001   0.000   0.001
 124.355    -0.001   0.000   0.002
 124.398    -0.001  -0.000   0.002
 124.442    -0.001  -0.001   0.002
 124.486    -0.001  -0.001   0.002
 124.529    -0.001  -0.001   0.002
 124.573    -0.001  -0.001   0.002
 124.617    -0.001  -0.001   0.002
 124.660    -0.001  -0.001   0.001
 124.704    -0.001  -0.001   0.000
 124.747    -0.001  -0.001  -0.000
 124.791    -0.001  -0.001  -0.001
 124.835    -0.001  -0.001  -0.002
 124.878    -0.001  -0.002  -0.004
 124.922    -0.001  -0.002  -0.005
 124.966    -0.001  -0.002  -0.006
 125.009    -0.001  -0.001  -0.006
 125.053    -0.000  -0.001  -0.006
 125.096    -0.000  -0.000  -0.006
 125.140    -0.000   0.000  -0.005
 125.184    -0.000   0.000  -0.003
 125.227     0.000   0.001  -0.001
 125.271     0.000   0.001   0.000
 125.315     0.001   0.001   0.002
 125.358     0.001   0.001   0.003
 125.402     0.001   0.002   0.004
 125.446     0.001   0.002   0.004
 125.489     0.001   0.002   0.004
 125.533     0.001   0.002   0.004
 125.576     0.001   0.002   0.004
 125.620     0.001   0.002   0.004
 125.664     0.001   0.002   0.005
 125.707     0.001   0.002   0.005
 125.751     0.001   0.002   0.005
 125.795     0.001   0.002   0.005
 125.838     0.001   0.002   0.005
 125.882     0.001   0.002   0.004
 125.926     0.001   0.002   0.002
 125.969     0.001   0.001   0.000
 126.013     0.001   0.001  -0.001
 126.056     0.001   0.000  -0.003
 126.100     0.000  -0.001  -0.004
 126.144     0.000  -0.002  -0.005
 126.187     0.000  -0.002  -0.005
 126.231    -0.000  -0.002  -0.005
 126.275    -0.000  -0.003  -0.005
 126.318    -0.000  -0.002  -0.005
 126.362    -0.000  -0.002  -0.005
 126.405    -0.000  -0.002  -0.005
 126.449    -0.000  -0.001  -0.005
 126.493    -0.000  -0.001  -0.004
 126.536    -0.000  -0.001  -0.002
 126.580    -0.000  -0.001  -0.000
 126.624    -0.000  -0.001   0.002
 126.667    -0.001  -0.001   0.004
 126.711    -0.001  -0.000   0.005
