 Substance:Cu_48       2023/01/05 09:09:41                     
 Input files: ./data/cu_c48_n0120.dat to ./data/cu_c48_n0120.dat step           1
 Supercell size:          48
 Integration Monte Carlo     100000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
  13.980    0.199    0.001
  14.000    0.187    0.001
  14.020    0.186    0.000
  14.040    0.196    0.000
  14.060    0.226    0.000
  14.080    0.273    0.000
  14.100    0.338    0.000
  14.120    0.420    0.000
  14.140    0.523    0.000
  14.160    0.630    0.000
  14.180    0.748    0.000
  14.200    0.874    0.001
  14.220    0.988    0.001
  14.240    1.089    0.001
  14.260    1.168    0.002
  14.280    1.220    0.003
  14.300    1.243    0.003
  14.320    1.233    0.004
  14.340    1.193    0.006
  14.360    1.125    0.007
  14.380    1.038    0.009
  14.400    0.937    0.011
  14.420    0.832    0.013
  14.440    0.733    0.015
  14.460    0.644    0.017
  14.480    0.570    0.018
  14.500    0.519    0.019
  14.520    0.492    0.020
  14.540    0.490    0.020
  14.560    0.516    0.019
  14.580    0.564    0.019
  14.600    0.636    0.018
  14.620    0.725    0.017
  14.640    0.822    0.016
  14.660    0.922    0.016
  14.680    1.022    0.016
  14.700    1.117    0.018
  14.720    1.192    0.021
  14.740    1.245    0.025
  14.760    1.281    0.031
  14.780    1.289    0.039
  14.800    1.277    0.050
  14.820    1.245    0.061
  14.840    1.204    0.074
  14.860    1.155    0.089
  14.880    1.100    0.101
  14.900    1.047    0.115
  14.920    0.992    0.124
  14.940    0.948    0.134
  14.960    0.907    0.138
  14.980    0.870    0.139
  15.000    0.842    0.138
  15.020    0.813    0.132
  15.040    0.796    0.123
  15.060    0.778    0.111
  15.080    0.765    0.100
  15.100    0.755    0.087
  15.120    0.746    0.075
  15.140    0.746    0.065
  15.160    0.738    0.056
  15.180    0.734    0.051
  15.200    0.726    0.047
  15.220    0.715    0.047
  15.240    0.707    0.050
  15.260    0.693    0.055
  15.280    0.682    0.061
  15.300    0.677    0.068
  15.320    0.675    0.077
  15.340    0.678    0.085
  15.360    0.694    0.091
  15.380    0.718    0.096
  15.400    0.750    0.098
  15.420    0.796    0.098
  15.440    0.854    0.096
  15.460    0.922    0.092
  15.480    0.998    0.085
  15.500    1.079    0.077
  15.520    1.164    0.068
  15.540    1.241    0.060
  15.560    1.310    0.051
  15.580    1.366    0.044
  15.600    1.400    0.039
  15.620    1.408    0.035
