 Substance:Cu       2022/06/11 09:05:19                     
 Input files: cu_48_n0121.dat to ./data/cu_48_n0121.dat step           1
 Supercell size:          48
 Integration Monte Carlo      20000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
  18.500    1.015    0.162
  18.520    1.037    0.166
  18.540    1.054    0.165
  18.560    1.060    0.158
  18.580    1.065    0.150
  18.600    1.065    0.139
  18.620    1.062    0.127
  18.640    1.049    0.113
  18.660    1.038    0.102
  18.680    1.017    0.090
  18.700    0.995    0.083
  18.720    0.970    0.076
  18.740    0.946    0.072
  18.760    0.925    0.070
  18.780    0.901    0.069
  18.800    0.891    0.071
  18.820    0.892    0.072
  18.840    0.908    0.072
  18.860    0.933    0.073
  18.880    0.981    0.072
  18.900    1.039    0.069
  18.920    1.095    0.066
  18.940    1.170    0.062
  18.960    1.236    0.055
  18.980    1.293    0.049
  19.000    1.344    0.041
  19.020    1.368    0.035
  19.040    1.371    0.028
  19.060    1.349    0.022
  19.080    1.300    0.017
  19.100    1.230    0.013
  19.120    1.148    0.010
  19.140    1.061    0.007
  19.160    0.968    0.005
  19.180    0.887    0.004
  19.200    0.815    0.004
  19.220    0.769    0.004
  19.240    0.748    0.005
  19.260    0.752    0.007
  19.280    0.772    0.010
  19.300    0.808    0.015
  19.320    0.858    0.021
  19.340    0.919    0.028
  19.360    0.973    0.037
  19.380    1.032    0.048
  19.400    1.073    0.060
  19.420    1.116    0.075
  19.440    1.138    0.088
  19.460    1.151    0.103
  19.480    1.159    0.118
  19.500    1.159    0.129
  19.520    1.151    0.140
  19.540    1.139    0.146
  19.560    1.120    0.148
  19.580    1.109    0.148
  19.600    1.095    0.145
  19.620    1.078    0.138
  19.640    1.060    0.130
  19.660    1.050    0.120
  19.680    1.031    0.112
  19.700    1.016    0.103
  19.720    1.002    0.098
  19.740    0.984    0.093
  19.760    0.970    0.091
  19.780    0.953    0.089
  19.800    0.944    0.092
  19.820    0.937    0.093
  19.840    0.938    0.097
  19.860    0.940    0.097
  19.880    0.955    0.099
  19.900    0.976    0.097
